,videoId,thumbnail,title,descriptionSnippet,publishedTimeText,lengthText,viewCountText,Link
10,mlDtQB0PtKI,https://i.ytimg.com/vi/mlDtQB0PtKI/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGE4gZSggMA8=&rs=AOn4CLBDKO6Irp5rmjjlhtd9dPU6-2h8aw,Aswito is in love | TRHK EP309 Pt 1,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,11 months ago,"12 minutes, 13 seconds","140,755 views",https://www.youtube.com/watch?v=mlDtQB0PtKI
11,5G1zjVLASmI,https://i.ytimg.com/vi/5G1zjVLASmI/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGFYgZSgqMA8=&rs=AOn4CLDr8TUa3pMgy_nAyVgGQe7olSzdzg,Baby this Baby that kila mahali | TRHK EP309 Promo,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,11 months ago,34 seconds,"18,095 views",https://www.youtube.com/watch?v=5G1zjVLASmI
12,TruR_wG0A3Q,https://i.ytimg.com/vi/TruR_wG0A3Q/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBm1hjbFCXc0Zko7EENIqSR1uFuhA,Woishe Mrs. Bakari  | TRHK EP308 Pt 2,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,11 months ago,"12 minutes, 58 seconds","132,806 views",https://www.youtube.com/watch?v=TruR_wG0A3Q
13,RYt8AxdILI0,https://i.ytimg.com/vi/RYt8AxdILI0/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGH8gRCgqMA8=&rs=AOn4CLC2sOFym7Fo2sZKvWpsncCv9W6vtA,Tuseme Nebu ni Mogul  | TRHK EP308 Pt 1,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,11 months ago,"11 minutes, 4 seconds","146,899 views",https://www.youtube.com/watch?v=RYt8AxdILI0
14,37hUI8UAmOI,https://i.ytimg.com/vi/37hUI8UAmOI/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGHIgRCgtMA8=&rs=AOn4CLAxd4DDCD-dW9eeEJrh0gWPMVdLbQ,Imagine Shipla anajibleach  | TRHK EP308 Promo,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,11 months ago,44 seconds,"41,732 views",https://www.youtube.com/watch?v=37hUI8UAmOI
15,CPRilSjv2Gg,https://i.ytimg.com/vi/CPRilSjv2Gg/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgTCg-MA8=&rs=AOn4CLCPWBCinhkBw7xgmOpXDaKFeMg-yg,Wueh! Pesa ipendi kelele!  | TRHK EP307 Pt 2,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"14 minutes, 42 seconds","173,054 views",https://www.youtube.com/watch?v=CPRilSjv2Gg
16,ixJpx2lYIEA,https://i.ytimg.com/vi/ixJpx2lYIEA/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgZShlMA8=&rs=AOn4CLD2mceRYFp8jU3nOKr4cZLEfTRUxw,Nitakuaribu na pesa wewe!  | TRHK EP307 Pt 1,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"9 minutes, 2 seconds","140,364 views",https://www.youtube.com/watch?v=ixJpx2lYIEA
17,Pq8DjRshE6w,https://i.ytimg.com/vi/Pq8DjRshE6w/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGHIgQSg0MA8=&rs=AOn4CLDSvBz9rVG8R2QHJlu6BilKIT0LHg,Lakeside Brothers bring Romance To Avocado Court! | TRHK EP307 Promo,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,41 seconds,"31,504 views",https://www.youtube.com/watch?v=Pq8DjRshE6w
18,T4L5tNkVNus,https://i.ytimg.com/vi/T4L5tNkVNus/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGDQgZShOMA8=&rs=AOn4CLCwmVbCGvjEbU6tPdDnacD4iwgizA,Eish! Njambi na wicked O! | TRHK EP306 Pt 2,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"10 minutes, 37 seconds","222,796 views",https://www.youtube.com/watch?v=T4L5tNkVNus
19,43vMfWKv0Zc,https://i.ytimg.com/vi/43vMfWKv0Zc/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGFogZShlMA8=&rs=AOn4CLAos1xoy-uLnoRZnbXH3EGVGTr6wQ,He he he! Business lady doing the most  | TRHK EP306 Pt 1,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"11 minutes, 57 seconds","210,479 views",https://www.youtube.com/watch?v=43vMfWKv0Zc
